"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date","name","email","phone.number","credit_card"
"Resort Hotel",0,37,2015,"August",35,23,2,3,2,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit",241,NA,0,"Transient",143.34,0,3,"Check-Out","2015-08-28","Melinda Marshall","Melinda.M@zoho.com","382-323-6516","************2846"
"City Hotel",1,121,2017,"August",32,10,2,5,2,0,0,"BB","BEL","Direct","Direct",0,0,0,"A","A",0,"No Deposit",14,NA,0,"Transient",112.5,0,0,"Canceled","2017-04-18","Jennifer Vasquez","Jennifer_V@gmail.com","651-117-0165","************5640"
"City Hotel",1,50,2015,"August",35,25,0,4,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",1,NA,0,"Transient-Party",62,0,0,"Canceled","2015-08-06","Brenda Green","Brenda.Green@yandex.com","494-110-3051","************6389"
"City Hotel",0,76,2016,"May",21,17,0,2,1,0,0,"BB","GBR","Corporate","TA/TO",0,0,0,"A","A",0,"No Deposit",NA,218,12,"Transient-Party",130,0,0,"Check-Out","2016-05-19","Angel Perez","APerez@verizon.com","301-328-9144","************7175"
"City Hotel",1,73,2017,"April",17,23,2,2,1,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",117,0,0,"Canceled","2017-02-09","Ryan Wallace","Wallace_Ryan@yandex.com","455-364-9935","************1286"
"Resort Hotel",0,26,2017,"August",34,21,1,5,2,0,0,"BB","IRL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",240,NA,0,"Transient",230,0,1,"Check-Out","2017-08-27","Brittany Leach","BrittanyLeach@att.com","777-364-2874","************8272"
"City Hotel",0,394,2017,"May",20,16,0,4,2,0,0,"BB","AUS","Offline TA/TO","TA/TO",0,0,0,"A","A",4,"No Deposit",229,NA,0,"Transient-Party",107,0,1,"Check-Out","2017-05-20","Kelly Murray","Kelly.M@zoho.com","255-317-4619","************4826"
"City Hotel",0,14,2015,"September",39,26,2,1,1,0,0,"SC","AUT","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit",9,NA,0,"Transient",200,0,0,"Check-Out","2015-09-29","Alexander Tucker","ATucker@verizon.com","168-725-7818","************9215"
"City Hotel",1,47,2015,"October",44,25,2,4,2,1,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",66,NA,0,"Transient-Party",159.75,0,2,"Canceled","2015-09-08","Jesse Woodward","Jesse.Woodward@xfinity.com","990-696-9636","************5099"
"City Hotel",0,8,2015,"September",37,9,0,4,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",27,NA,0,"Transient",54.75,0,0,"Check-Out","2015-09-13","Caitlin Mendoza","Caitlin_Mendoza50@zoho.com","541-879-2475","************4689"
"City Hotel",1,99,2016,"February",8,19,0,1,2,0,0,"BB","PRT","Corporate","Corporate",0,1,0,"A","A",0,"No Deposit",NA,67,0,"Transient-Party",80,0,0,"Canceled","2015-12-22","Adam Hansen","Hansen_Adam78@verizon.com","511-480-4430","************9451"
